"","Elastic Net GBM","GBM GBM","KNN GBM","NB GBM","NNET GBM","RF GBM","SVM GBM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.78 (0.03)","0.89 (0.02)","0.84 (0.03)","0.75 (0.02)","0.86 (0.02)","0.89 (0.02)","0.78 (0.02)","<0.001",""
"Kappa (mean (SD))","0.50 (0.06)","0.76 (0.03)","0.63 (0.06)","0.47 (0.04)","0.68 (0.05)","0.77 (0.04)","0.49 (0.06)","<0.001",""
"Brier_score (mean (SD))","0.31 (0.02)","0.16 (0.02)","0.24 (0.03)","0.47 (0.04)","0.21 (0.02)","0.17 (0.01)","0.31 (0.02)","<0.001",""
