"","Elastic Net SVM","GBM SVM","KNN SVM","NB SVM","NNET SVM","RF SVM","SVM SVM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.80 (0.06)","0.85 (0.04)","0.71 (0.06)","0.74 (0.06)","0.76 (0.06)","0.83 (0.04)","0.79 (0.05)","<0.001",""
"Kappa (mean (SD))","0.73 (0.08)","0.79 (0.06)","0.60 (0.08)","0.65 (0.08)","0.67 (0.08)","0.76 (0.05)","0.71 (0.06)","<0.001",""
"Brier_score (mean (SD))","0.28 (0.06)","0.26 (0.06)","0.39 (0.05)","0.46 (0.11)","0.33 (0.04)","0.27 (0.05)","0.29 (0.05)","<0.001",""
