"","Elastic Net SVM","GBM SVM","KNN SVM","NB SVM","NNET SVM","RF SVM","SVM SVM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.76 (0.02)","0.78 (0.02)","0.77 (0.01)","0.72 (0.02)","0.79 (0.03)","0.80 (0.02)","0.76 (0.01)","<0.001",""
"Kappa (mean (SD))","0.45 (0.03)","0.51 (0.04)","0.48 (0.03)","0.42 (0.03)","0.54 (0.06)","0.55 (0.04)","0.44 (0.03)","<0.001",""
"Brier_score (mean (SD))","0.34 (0.01)","0.30 (0.02)","0.32 (0.04)","0.52 (0.03)","0.28 (0.03)","0.27 (0.02)","0.34 (0.01)","<0.001",""
