"","Elastic Net GBM","GBM GBM","KNN GBM","NB GBM","NNET GBM","RF GBM","SVM GBM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.82 (0.07)","0.83 (0.05)","0.68 (0.04)","0.74 (0.07)","0.74 (0.06)","0.82 (0.05)","0.77 (0.05)","<0.001",""
"Kappa (mean (SD))","0.76 (0.10)","0.76 (0.07)","0.55 (0.05)","0.65 (0.10)","0.65 (0.08)","0.75 (0.07)","0.68 (0.07)","<0.001",""
"Brier_score (mean (SD))","0.27 (0.06)","0.27 (0.06)","0.42 (0.06)","0.44 (0.12)","0.35 (0.06)","0.32 (0.06)","0.32 (0.06)","<0.001",""
