"","Elastic Net SVM","GBM SVM","KNN SVM","NB SVM","NNET SVM","RF SVM","SVM SVM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.87 (0.04)","0.84 (0.04)","0.83 (0.04)","0.83 (0.04)","0.87 (0.03)","0.85 (0.06)","0.85 (0.04)","0.173",""
"Kappa (mean (SD))","0.78 (0.07)","0.72 (0.07)","0.71 (0.06)","0.73 (0.06)","0.77 (0.05)","0.74 (0.11)","0.75 (0.06)","0.272",""
"Brier_score (mean (SD))","0.20 (0.05)","0.24 (0.05)","0.26 (0.05)","0.31 (0.08)","0.22 (0.05)","0.24 (0.05)","0.21 (0.05)","<0.001",""
