"","Elastic Net GBM","GBM GBM","KNN GBM","NB GBM","NNET GBM","RF GBM","SVM GBM","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.88 (0.05)","0.85 (0.04)","0.84 (0.04)","0.84 (0.05)","0.86 (0.05)","0.84 (0.03)","0.86 (0.05)","0.481",""
"Kappa (mean (SD))","0.78 (0.09)","0.74 (0.07)","0.72 (0.07)","0.74 (0.07)","0.75 (0.08)","0.72 (0.06)","0.77 (0.09)","0.436",""
"Brier_score (mean (SD))","0.19 (0.05)","0.24 (0.06)","0.24 (0.06)","0.31 (0.10)","0.22 (0.06)","0.25 (0.03)","0.21 (0.07)","0.005",""
