"","Elastic Net Elastic Net","GBM Elastic Net","KNN Elastic Net","NB Elastic Net","NNET Elastic Net","RF Elastic Net","SVM Elastic Net","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.89 (0.04)","0.87 (0.04)","0.86 (0.05)","0.86 (0.05)","0.89 (0.03)","0.85 (0.05)","0.88 (0.05)","0.326",""
"Kappa (mean (SD))","0.82 (0.07)","0.78 (0.08)","0.76 (0.09)","0.76 (0.07)","0.80 (0.05)","0.73 (0.11)","0.79 (0.09)","0.267",""
"Brier_score (mean (SD))","0.17 (0.05)","0.21 (0.07)","0.22 (0.06)","0.27 (0.08)","0.19 (0.05)","0.24 (0.05)","0.19 (0.06)","0.013",""
