"","Elastic Net Elastic Net","GBM Elastic Net","KNN Elastic Net","NB Elastic Net","NNET Elastic Net","RF Elastic Net","SVM Elastic Net","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.77 (0.03)","0.82 (0.04)","0.83 (0.02)","0.75 (0.02)","0.84 (0.02)","0.85 (0.02)","0.76 (0.02)","<0.001",""
"Kappa (mean (SD))","0.47 (0.06)","0.59 (0.08)","0.62 (0.05)","0.47 (0.04)","0.65 (0.05)","0.66 (0.05)","0.47 (0.05)","<0.001",""
"Brier_score (mean (SD))","0.32 (0.03)","0.25 (0.04)","0.25 (0.03)","0.46 (0.04)","0.22 (0.03)","0.22 (0.02)","0.32 (0.03)","<0.001",""
