"","Elastic Net Elastic Net","GBM Elastic Net","KNN Elastic Net","NB Elastic Net","NNET Elastic Net","RF Elastic Net","SVM Elastic Net","p","test"
"n","10","10","10","10","10","10","10","",""
"Accuracy (mean (SD))","0.76 (0.05)","0.84 (0.04)","0.69 (0.04)","0.76 (0.06)","0.74 (0.05)","0.78 (0.05)","0.76 (0.05)","<0.001",""
"Kappa (mean (SD))","0.67 (0.06)","0.78 (0.05)","0.57 (0.05)","0.67 (0.09)","0.65 (0.06)","0.70 (0.08)","0.67 (0.07)","<0.001",""
"Brier_score (mean (SD))","0.34 (0.07)","0.25 (0.07)","0.40 (0.03)","0.43 (0.12)","0.35 (0.05)","0.40 (0.07)","0.34 (0.06)","<0.001",""
