"","Model","N","NumFeatures","PercentCensored","DCalibration","OneCalibration10th","OneCalibration25th","OneCalibration50th","OneCalibration75th","OneCalibration90th","ConcordanceM","ConcordanceSD","SingleBrierM","SingleBrierSD","IntegratedBrierM","IntegratedBrierSD","L1M","L1SD"
"1","AFT",1043,19,0.566634707574305,0.425256279047098,0.147411884659233,0.0238015839429665,1.4743199299172e-05,1.39051375502852e-05,3.66837560328293e-09,0.720355746585831,0.0282188354573233,0.192175038814768,0.0158934894502146,0.175547934581065,0.0146951158498367,162.509562490278,12.7593726538759
"2","CoxKP",1043,19,0.566634707574305,0.993439467989721,0.446714351299144,0.46957057098956,0.0106653664447783,0.00170024416641668,0.00860862470979173,0.720837861654037,0.0281682886979446,0.189003976022069,0.016537984309358,0.169241166545476,0.0105356035495501,187.858737469269,12.9764807679744
"3","CoxKPEN",1043,19,0.566634707574305,0.993571407281783,0.897793121744263,0.477433768666721,0.0265450475065334,0.00602657726629141,0.0269187527792134,0.721732916785443,0.0288009020463628,0.188823726113379,0.0167000300007025,0.169447628820629,0.0107385406523823,185.885341666071,14.7134859311076
"4","Kaplan-Meier",1043,19,0.566634707574305,0.999999999988239,1.22124532708767e-15,0,0,0,0,0.5,0,0.239807842543545,0.000457795232384608,0.221780752149273,0.00862249546701276,207.374993757113,3.33554475606393
"5","MTLR",1043,19,0.566634707574305,0.980235058237637,0.0862802602361004,0.506392896355361,0.0422337207060061,0.242487724534802,0.131679473287885,0.72051479901041,0.0326896065372285,0.190441223857505,0.0172791678174049,0.177833386914552,0.0152690713227013,162.349121512682,13.4294670913446
"6","RSF",1043,19,0.566634707574305,0.865596901171789,0.354261687294265,0.0262081466312349,0.446582333372533,0.654593065108511,0.0495173114317644,0.699079167854537,0.0475059979173744,0.200430240234221,0.02290542906865,0.178050153409618,0.0207152779493871,166.040728727211,19.3520590601742
