"","column","row","cor","p","p.adjust","sig","sig.adjust","rsquared","group","sanger_mean_auc"
"1","ABT737..GDSC2.1910.","High_cal",0.533130310137649,0.0187502169122209,0.966896824386368,"*","",0.284227927587466,"sanger_uni",0.845269750225494
"2","ABT737..GDSC2.1910.","Low_cal",-0.533130310137631,0.0187502169122256,0.966896824386368,"*","",0.284227927587447,"sanger_uni",0.845269750225494
"3","ABT737..GDSC2.1910.","STAD_CIN",-0.168431130142182,0.49064603502215,0.977566209499005,"","",0.0283690456009726,"sanger_uni",0.845269750225494
"4","ABT737..GDSC2.1910.","STAD_EBV",-0.145329191108944,0.552756211235663,0.977566209499005,"","",0.02112057378838,"sanger_uni",0.845269750225494
"5","ABT737..GDSC2.1910.","STAD_GS",-0.136967577207875,0.576064441279335,0.977566209499005,"","",0.0187601172061953,"sanger_uni",0.845269750225494
"6","ABT737..GDSC2.1910.","STAD_MSI",0.336926946465649,0.158371610620037,0.966896824386368,"","",0.113519767254666,"sanger_uni",0.845269750225494
"7","ABT737..GDSC2.1910.","MSS_TP53neg",0.154129349169619,0.52869026102619,0.977566209499005,"","",0.0237558562754504,"sanger_uni",0.845269750225494
"8","ABT737..GDSC2.1910.","MSS_TP53pos",-0.272100280213585,0.259756924573736,0.977566209499005,"","",0.0740385624923114,"sanger_uni",0.845269750225494
"9","ABT737..GDSC2.1910.","MSI",-0.049946055972796,0.83909151232653,0.977566209499005,"","",0.00249460850723767,"sanger_uni",0.845269750225494
"10","ABT737..GDSC2.1910.","EMT",0.250269611314968,0.301415143058447,0.977566209499005,"","",0.0626348783477454,"sanger_uni",0.845269750225494
"11","afatinib..GDSC2.1032.","High_cal",0.360878390299754,0.141216832693164,0.966896824386368,"","",0.130233212585341,"sanger_uni",0.819031026300633
"12","afatinib..GDSC2.1032.","Low_cal",-0.360878390299753,0.141216832693164,0.966896824386368,"","",0.130233212585341,"sanger_uni",0.819031026300633
"13","afatinib..GDSC2.1032.","STAD_CIN",-0.247632374051776,0.321815131935012,0.977566209499005,"","",0.0613217926785185,"sanger_uni",0.819031026300633
"14","afatinib..GDSC2.1032.","STAD_EBV",0.123121837256393,0.626457020158573,0.977566209499005,"","",0.0151589868093897,"sanger_uni",0.819031026300633
"15","afatinib..GDSC2.1032.","STAD_GS",0.219129224307753,0.38231889194608,0.977566209499005,"","",0.0480176169457175,"sanger_uni",0.819031026300633
"16","afatinib..GDSC2.1032.","STAD_MSI",0.124896490011062,0.621454173024322,0.977566209499005,"","",0.0155991332170834,"sanger_uni",0.819031026300633
"17","afatinib..GDSC2.1032.","MSS_TP53neg",-0.152884555758496,0.544749936868443,0.977566209499005,"","",0.0233736873894728,"sanger_uni",0.819031026300633
"18","afatinib..GDSC2.1032.","MSS_TP53pos",-0.179650508472782,0.475653979170379,0.977566209499005,"","",0.0322743051945292,"sanger_uni",0.819031026300633
"19","afatinib..GDSC2.1032.","MSI",0.291373763438346,0.2407480406049,0.968209448495925,"","",0.0848986700202253,"sanger_uni",0.819031026300633
"20","afatinib..GDSC2.1032.","EMT",0.183547807683024,0.465970449668053,0.977566209499005,"","",0.0336897977052444,"sanger_uni",0.819031026300633
"21","AGI.5198..GDSC2.1913.","High_cal",-0.315436826031054,0.234013578391691,0.968209448495925,"","",0.0995003912165452,"sanger_uni",0.949781613335938
"22","AGI.5198..GDSC2.1913.","Low_cal",0.315436826031143,0.234013578391552,0.968209448495925,"","",0.0995003912166014,"sanger_uni",0.949781613335938
"23","AGI.5198..GDSC2.1913.","STAD_CIN",0.0878131890616772,0.74640352190616,0.977566209499005,"","",0.00771115617318187,"sanger_uni",0.949781613335938
"24","AGI.5198..GDSC2.1913.","STAD_EBV",0.300032287475086,0.258882686271742,0.977566209499005,"","",0.0900193735275324,"sanger_uni",0.949781613335938
"25","AGI.5198..GDSC2.1913.","STAD_GS",0.164576200293183,0.542470632901134,0.977566209499005,"","",0.0270853257029419,"sanger_uni",0.949781613335938
"26","AGI.5198..GDSC2.1913.","STAD_MSI",-0.314632765798967,0.235273021347137,0.968209448495925,"","",0.0989937773143079,"sanger_uni",0.949781613335938
"27","AGI.5198..GDSC2.1913.","MSS_TP53neg",-0.0700142219058708,0.796673358635561,0.977566209499005,"","",0.00490199126908452,"sanger_uni",0.949781613335938
"28","AGI.5198..GDSC2.1913.","MSS_TP53pos",0.14940810410166,0.580763718023798,0.977566209499005,"","",0.0223227815712526,"sanger_uni",0.949781613335938
"29","AGI.5198..GDSC2.1913.","MSI",0.311529317036897,0.240173994897941,0.968209448495925,"","",0.0970505153734755,"sanger_uni",0.949781613335938
"30","AGI.5198..GDSC2.1913.","EMT",-0.450972554083502,0.079564391139298,0.966896824386368,".","",0.203376244536597,"sanger_uni",0.949781613335938
"31","alisertib..GDSC2.1051.","High_cal",-0.0404587019938362,0.88173760043179,0.97882539507497,"","",0.00163690656702605,"sanger_uni",0.895628229655708
"32","alisertib..GDSC2.1051.","Low_cal",0.040458701993811,0.881737600431864,0.97882539507497,"","",0.001636906567024,"sanger_uni",0.895628229655708
"33","alisertib..GDSC2.1051.","STAD_CIN",0.410496649607164,0.114258232374471,0.966896824386368,"","",0.168507499338707,"sanger_uni",0.895628229655708
"34","alisertib..GDSC2.1051.","STAD_EBV",-0.0911820145539269,0.736989486171164,0.977566209499005,"","",0.00831415977811254,"sanger_uni",0.895628229655708
"35","alisertib..GDSC2.1051.","STAD_GS",-0.0703154722608228,0.795815683586484,0.977566209499005,"","",0.00494426563926255,"sanger_uni",0.895628229655708
